seq,TABLE_NAME,TABLE_COMMENTS,COLUMN_ID,COLUMN_NAME,COLUMN_COMMENTS,DATA_TYPE,IDX,COL_TOT,PK_COL,POSITION,,PK
376,_TACAsst,고정자산마스터,1,CompanySeq,법인내부코드,int(10),1,27,CompanySeq,1,,1
377,_TACAsst,고정자산마스터,2,AsstSeq,고정자산코드,int(10),2,27,AsstSeq,2,,1
378,_TACAsst,고정자산마스터,3,AsstNo,고정자산번호,nvarchar(100),3,27,,,,
379,_TACAsst,고정자산마스터,4,AsstName,고정자산명,nvarchar(100),4,27,,,,
380,_TACAsst,고정자산마스터,5,AsstTypeSeq,자산분류코드,int(10),5,27,,,,
381,_TACAsst,고정자산마스터,6,BizUnit,사업부문,int(10),6,27,,,,
382,_TACAsst,고정자산마스터,7,GainDate,취득일,nchar(8),7,27,,,,
383,_TACAsst,고정자산마스터,8,DeptSeq,관리부서,int(10),8,27,,,,
384,_TACAsst,고정자산마스터,9,GainAmt,취득가액,decimal(19),9,27,,,,
385,_TACAsst,고정자산마스터,10,GainQty,취득수량,int(10),10,27,,,,
386,_TACAsst,고정자산마스터,11,GainCustSeq,취득처,int(10),11,27,,,,
387,_TACAsst,고정자산마스터,12,ManagerEmpSeq,관리자코드,int(10),12,27,,,,
388,_TACAsst,고정자산마스터,13,IsBiz,사업용자산여부,nchar(1),13,27,,,,
389,_TACAsst,고정자산마스터,14,RealAsstKindSeq,실물자산구분,int(10),14,27,,,,
390,_TACAsst,고정자산마스터,15,Remark,비고,nvarchar(200),15,27,,,,
391,_TACAsst,고정자산마스터,16,FileSeq,파일관리코드,int(10),16,27,,,,
392,_TACAsst,고정자산마스터,17,SupplyAmt,공급가액,decimal(19),17,27,,,,
393,_TACAsst,고정자산마스터,18,VATAmt,부가세액,decimal(19),18,27,,,,
394,_TACAsst,고정자산마스터,19,SMVATKind,부가세종류,int(10),19,27,,,,
395,_TACAsst,고정자산마스터,20,SlipSeq,전표내부코드,int(10),20,27,,,,
396,_TACAsst,고정자산마스터,21,LastUserSeq,작업자,int(10),21,27,,,,
397,_TACAsst,고정자산마스터,22,LastDateTime,작업일시,datetime(8),22,27,,,,
398,_TACAsst,고정자산마스터,23,AccVatSeq,부가세계정코드,int(10),23,27,,,,
399,_TACAsst,고정자산마스터,24,EvidSeq,증빙내부코드,int(10),24,27,,,,
400,_TACAsst,고정자산마스터,25,SMNDVATKind,불공제구분,int(10),25,27,,,,
401,_TACAsst,고정자산마스터,26,SMNDVATAmt,불공제세,decimal(19),26,27,,,,
402,_TACAsst,고정자산마스터,27,IsRemUseMonDepre,잔존내용연수기준상각,nchar(1),27,27,,,,
