SEQ,TABLE_NAME,TABLE_COMMENTS,COLUMN_NAME,POSITION,COLUMN_COMMENTS,DATA_TYPE,COLUMN_ID,IDX,COL_TOT,PK_COL
1,FB_ADMINMENUAUTH,권한별메뉴접근정보,LUSERID,,최종수정자,VARCHAR(20),1,1,4,
2,FB_ADMINMENUAUTH,권한별메뉴접근정보,LDATE,,최종수정일,VARCHAR(14),2,2,4,
3,FB_ADMINMENUAUTH,권한별메뉴접근정보,MENU,1,메뉴코드,VARCHAR(9),3,3,4,MENU
4,FB_ADMINMENUAUTH,권한별메뉴접근정보,GADMIN,2,권한코드,VARCHAR(4),4,4,4,GADMIN
5,FB_BATCHJOB,BATCH_JOB정보,JOB_SEQ,1,JOB코드,NUMBER,1,1,12,JOB_SEQ
6,FB_BATCHJOB,BATCH_JOB정보,JOBCLASS,,JOB구분,VARCHAR(20),2,2,12,
7,FB_BATCHJOB,BATCH_JOB정보,JOB,,JOB이름,VARCHAR(30),3,3,12,
8,FB_BATCHJOB,BATCH_JOB정보,URL,,실행URL,VARCHAR(200),4,4,12,
9,FB_BATCHJOB,BATCH_JOB정보,ISUSE,,사용여부,CHAR(1),5,5,12,
10,FB_BATCHJOB,BATCH_JOB정보,FREQUENCY,,반복빈도코드,VARCHAR(20),6,6,12,
11,FB_BATCHJOB,BATCH_JOB정보,REPEAT_DAY,,반복일,NUMBER,7,7,12,
12,FB_BATCHJOB,BATCH_JOB정보,REPEAT_WEEK,,반복요일,VARCHAR(10),8,8,12,
13,FB_BATCHJOB,BATCH_JOB정보,REPEAT_TIME,,반복시간,NUMBER,9,9,12,
14,FB_BATCHJOB,BATCH_JOB정보,REPEAT_NUM,,반복회수,NUMBER,10,10,12,
15,FB_BATCHJOB,BATCH_JOB정보,LUSERID,,최종수정자,VARCHAR(20),11,11,12,
16,FB_BATCHJOB,BATCH_JOB정보,LDATE,,최종수정일,VARCHAR(14),12,12,12,
17,FB_BATCHJOB_LOG,BATCH_JOB로그,LOGS,1,로그번호,NUMBER,1,1,7,LOGS
18,FB_BATCHJOB_LOG,BATCH_JOB로그,JOB_SEQ,,JOB코드,NUMBER,2,2,7,
19,FB_BATCHJOB_LOG,BATCH_JOB로그,START_DATE,,실행시작일시,VARCHAR(14),3,3,7,
20,FB_BATCHJOB_LOG,BATCH_JOB로그,END_DATE,,실행끝일시,VARCHAR(14),4,4,7,
21,FB_BATCHJOB_LOG,BATCH_JOB로그,RESULT,,결과,VARCHAR(20),5,5,7,
22,FB_BATCHJOB_LOG,BATCH_JOB로그,LUSERID,,최종수정자,VARCHAR(20),6,6,7,
23,FB_BATCHJOB_LOG,BATCH_JOB로그,LDATE,,최종수정일,VARCHAR(14),7,7,7,
24,FB_BATCH_ERROR_LOG,,IDX,1,인덱스,NUMBER,1,1,3,IDX
25,FB_BATCH_ERROR_LOG,,ERROR_MSG,,에러메세지,VARCHAR(4000),2,2,3,
26,FB_BATCH_ERROR_LOG,,REGDATE,,등록일,DATE,3,3,3,
27,FB_BATCH_TASK_LOG,배치수행정보,SEQ,1,시퀀스,NUMBER,1,1,8,SEQ
28,FB_BATCH_TASK_LOG,배치수행정보,TASK_DATE,,수행일자,VARCHAR(14),2,2,8,
29,FB_BATCH_TASK_LOG,배치수행정보,TASK_TIME,,수행시간,VARCHAR(6),3,3,8,
30,FB_BATCH_TASK_LOG,배치수행정보,BATCH_NM,,배치명,VARCHAR(256),4,4,8,
31,FB_BATCH_TASK_LOG,배치수행정보,SERVER_IP,,수행서버아이피,VARCHAR(20),5,5,8,
