SEQ,TABLE_NAME,TABLE_COMMENTS,COLUMN_ID,COLUMN_NAME,COLUMN_COMMENTS,DATA_TYPE,IDX,COL_TOT,PK_COL,POSITION
1,FB_ADMINMENUAUTH,권한별메뉴접근정보,4,LUSERID,최종수정자,VARCHAR2(20),4,4,,
2,FB_ADMINMENUAUTH,권한별메뉴접근정보,3,LDATE,최종수정일,VARCHAR2(14),3,4,,
3,FB_ADMINMENUAUTH,권한별메뉴접근정보,1,MENU,메뉴코드,VARCHAR2(9),1,4,MENU,1
4,FB_ADMINMENUAUTH,권한별메뉴접근정보,2,GADMIN,권한코드,VARCHAR2(4),2,4,GADMIN,2
5,FB_BATCHJOB,BATCH_JOB정보,1,JOB_SEQ,JOB코드,"NUMBER(22,18)",1,12,JOB_SEQ,1
6,FB_BATCHJOB,BATCH_JOB정보,2,JOBCLASS,JOB구분,VARCHAR2(20),2,12,,
7,FB_BATCHJOB,BATCH_JOB정보,3,JOB,JOB이름,VARCHAR2(30),3,12,,
8,FB_BATCHJOB,BATCH_JOB정보,4,URL,실행URL,VARCHAR2(200),4,12,,
9,FB_BATCHJOB,BATCH_JOB정보,5,ISUSE,사용여부,CHAR(1),5,12,,
10,FB_BATCHJOB,BATCH_JOB정보,6,FREQUENCY,반복빈도코드,VARCHAR2(20),6,12,,
11,FB_BATCHJOB,BATCH_JOB정보,7,REPEAT_DAY,반복일,"NUMBER(22,18)",7,12,,
12,FB_BATCHJOB,BATCH_JOB정보,8,REPEAT_WEEK,반복요일,VARCHAR2(10),8,12,,
13,FB_BATCHJOB,BATCH_JOB정보,9,REPEAT_TIME,반복시간,"NUMBER(22,18)",9,12,,
14,FB_BATCHJOB,BATCH_JOB정보,10,REPEAT_NUM,반복회수,"NUMBER(22,18)",10,12,,
15,FB_BATCHJOB,BATCH_JOB정보,11,LUSERID,최종수정자,VARCHAR2(20),11,12,,
16,FB_BATCHJOB,BATCH_JOB정보,12,LDATE,최종수정일,VARCHAR2(14),12,12,,
17,FB_BATCHJOB_LOG,BATCH_JOB로그,1,LOGS,로그번호,"NUMBER(22,18)",1,7,LOGS,1
18,FB_BATCHJOB_LOG,BATCH_JOB로그,2,JOB_SEQ,JOB코드,"NUMBER(22,18)",2,7,,
19,FB_BATCHJOB_LOG,BATCH_JOB로그,3,START_DATE,실행시작일시,VARCHAR2(14),3,7,,
20,FB_BATCHJOB_LOG,BATCH_JOB로그,4,END_DATE,실행끝일시,VARCHAR2(14),4,7,,
21,FB_BATCHJOB_LOG,BATCH_JOB로그,5,RESULT,결과,VARCHAR2(20),5,7,,
22,FB_BATCHJOB_LOG,BATCH_JOB로그,6,LUSERID,최종수정자,VARCHAR2(20),6,7,,
23,FB_BATCHJOB_LOG,BATCH_JOB로그,7,LDATE,최종수정일,VARCHAR2(14),7,7,,
24,FB_BATCH_TASK_LOG,배치수행정보,1,SEQ,시퀀스,"NUMBER(22,18)",1,8,SEQ,1
25,FB_BATCH_TASK_LOG,배치수행정보,2,TASK_DATE,수행일자,VARCHAR2(14),2,8,,
26,FB_BATCH_TASK_LOG,배치수행정보,3,TASK_TIME,수행시간,VARCHAR2(6),3,8,,
27,FB_BATCH_TASK_LOG,배치수행정보,4,BATCH_NM,배치명,VARCHAR2(256),4,8,,
28,FB_BATCH_TASK_LOG,배치수행정보,5,SERVER_IP,수행서버아이피,VARCHAR2(20),5,8,,
29,FB_BATCH_TASK_LOG,배치수행정보,6,TASK_START,수행시작시간,VARCHAR2(14),6,8,,
30,FB_BATCH_TASK_LOG,배치수행정보,7,TASK_END,수행종료시간,VARCHAR2(14),7,8,,
31,FB_BATCH_TASK_LOG,배치수행정보,8,TASK_TYPE,구분,VARCHAR2(20),8,8,,
32,FB_BETAPROGRESS,관리자진도체크,1,SUBJSEQ,과정차수코드,VARCHAR2(4),1,13,SUBJSEQ,1
33,FB_BETAPROGRESS,관리자진도체크,2,SUBJ,과정코드,VARCHAR2(20),2,13,SUBJ,2
34,FB_BETAPROGRESS,관리자진도체크,3,USERID,사용자아이디,VARCHAR2(20),3,13,USERID,3
35,FB_BETAPROGRESS,관리자진도체크,4,LESSON,차시코드,VARCHAR2(3),4,13,LESSON,4
36,FB_BETAPROGRESS,관리자진도체크,5,MODULE,모듈코드,"NUMBER(22,18)",5,13,MODULE,5
37,FB_BETAPROGRESS,관리자진도체크,6,FIRST_DT,학습시작시간,VARCHAR2(14),6,13,,
38,FB_BETAPROGRESS,관리자진도체크,7,LAST_DT,학습종료시간,VARCHAR2(14),7,13,,
39,FB_BETAPROGRESS,관리자진도체크,8,FINAL_CNT,학습회수,"NUMBER(22,18)",8,13,,
40,FB_BETAPROGRESS,관리자진도체크,9,LAST_PATH,마지막학습경로,VARCHAR2(200),9,13,,
41,FB_BETAPROGRESS,관리자진도체크,10,LAST_PAGENO,마지막학습페이지번호,"NUMBER(22,18)",10,13,,
42,FB_BETAPROGRESS,관리자진도체크,11,LUSERID,최종수정자,VARCHAR2(20),11,13,,
43,FB_BETAPROGRESS,관리자진도체크,12,LDATE,최종수정일,VARCHAR2(14),12,13,,
44,FB_BETAPROGRESS,관리자진도체크,13,STUDY_TIME,총학습시간,"NUMBER(22,18)",13,13,,
45,FB_BETAPROGRESS_LOG,관리자학습로그,1,SUBJSEQ,과정차수,VARCHAR2(4),1,8,SUBJSEQ,1
46,FB_BETAPROGRESS_LOG,관리자학습로그,2,SUBJ,과정코드,VARCHAR2(20),2,8,SUBJ,2
