seq,no.1,table_name,table_comments,column_name,column_comments,DATA_TYPE,position,pk_col,column_id,col_tot
1,1,leagues, 리그 정보를 반환,id,리그의 고유 ID,integer,1,id,1,7
2,1,leagues, 리그 정보를 반환,name,리그 명칭,varchar(50),,,2,7
3,1,leagues, 리그 정보를 반환,iso_country_code,리그가 소속된 국가의 2자리 ISO 국가코드,varchar(5),,,3,7
4,1,leagues, 리그 정보를 반환,age_limit,"리그의 연령대 정보 (예: ""ADULT"", ""U23"")",varchar(10),,,4,7
5,1,leagues, 리그 정보를 반환,division,"0: 토너먼트 컵대회, 1이상부터 1부리그, 2부리그 등등",integer,,,5,7
6,1,leagues, 리그 정보를 반환,season_ids,해당 리그에 포함되는 시즌 ID 목록,text,,,6,7
7,1,leagues, 리그 정보를 반환,regdate,데이터 적재 일자,date,,,7,7
8,2,seasons,시즌 정보를 반환,id,시즌의 고유 ID,integer,1,id,1,5
9,2,seasons,시즌 정보를 반환,name,"시즌 명칭 (예: ""2021"")",varchar(10),,,2,5
10,2,seasons,시즌 정보를 반환,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,3,5
11,2,seasons,시즌 정보를 반환,league_id,시즌이 포함되는 리그 ID,integer,,,4,5
12,2,seasons,시즌 정보를 반환,team_ids,해당 시즌에 포함되는 팀 ID 목록,text,,,5,5
13,3,teams,팀 정보를 반환,id,팀의 고유 ID,integer,1,id,1,7
14,3,teams,팀 정보를 반환,name,팀 명칭,varchar(100),,,2,7
15,3,teams,팀 정보를 반환,country_cd,팀이 소속된 국가의 2자리 ISO 국가코드,varchar(5),,,3,7
16,3,teams,팀 정보를 반환,player_ids,해당 팀에 소속된 선수 ID 목록,text,,,4,7
17,3,teams,팀 정보를 반환,match_id,경기의 고유 ID,integer,,,5,7
18,3,teams,팀 정보를 반환,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,6,7
19,3,teams,팀 정보를 반환,regdate,데이터 적재 일자,date,,,7,7
20,4,players,선수 정보를 반환,id,선수의 고유 ID,integer,1,id,1,10
21,4,players,선수 정보를 반환,player_name,선수의 이름 (성 제외),varchar(50),,,2,10
22,4,players,선수 정보를 반환,player_last_name,선수의 성,varchar(10),,,3,10
23,4,players,선수 정보를 반환,back_number,선수의 등번호,varchar(5),,,4,10
24,4,players,선수 정보를 반환,player_role,"선수의 역할. 선수일 경우 null이고, 코치나 스태프일 경우 ""team.staff""값이 부여됨",varchar(20),,,5,10
25,4,players,선수 정보를 반환,main_position,선수의 대표 포지션 (예: GK),varchar(5),,,6,10
26,4,players,선수 정보를 반환,team_id,선수가 소속된 팀의 ID,integer,,,7,10
27,4,players,선수 정보를 반환,match_id,경기의 고유 ID,integer,,,8,10
28,4,players,선수 정보를 반환,season_group_name,"시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,9,10
29,4,players,선수 정보를 반환,regdate,데이터 적재 일자,date,,,10,10
30,5,matches,경기 정보를 반환,id,경기의 고유 ID,integer,1,id,1,29
31,5,matches,경기 정보를 반환,start_time,경기의 로컬 시간대 날짜 및 시간 (ISO 8601 형식),varchar(30),,,2,29
32,5,matches,경기 정보를 반환,round_id,해당 경기 라운드의 고유 ID,integer,,,3,29
33,5,matches,경기 정보를 반환,round_name,"해당 경기 라운드 명칭 (예: ""Round 1"")",varchar(20),,,4,29
34,5,matches,경기 정보를 반환,season_id,해당 경기 시즌의 고유 ID,integer,,,5,29
35,5,matches,경기 정보를 반환,season_name,"해당 경기 시즌의 명칭 (예: ""2021"")",varchar(10),,,6,29
36,5,matches,경기 정보를 반환,season_group_name,"해당 경기 시즌 그룹 명칭 (= 시즌의 연도; 예: ""2021"")",varchar(10),,,7,29
37,5,matches,경기 정보를 반환,league_id,해당 경기 시즌의 리그 ID,integer,,,8,29
38,5,matches,경기 정보를 반환,home_team_id,홈팀의 고유 ID,integer,,,9,29
39,5,matches,경기 정보를 반환,home_team_name,홈팀 명칭,varchar(100),,,10,29
40,5,matches,경기 정보를 반환,home_team_country_cd,홈팀 국가 코드,varchar(5),,,11,29
41,5,matches,경기 정보를 반환,away_team_id,원정팀의 고유 ID,integer,,,12,29
42,5,matches,경기 정보를 반환,away_team_name,원정팀 명칭,varchar(100),,,13,29
43,5,matches,경기 정보를 반환,away_team_country_cd,원정팀 국가 코드,varchar(5),,,14,29
44,5,matches,경기 정보를 반환,full_time,경기의 정규 시간 (분 단위; 예: 90),integer,,,15,29
45,5,matches,경기 정보를 반환,half_time_duration,경기의 전후반 시간 (분 단위; 예: 45),integer,,,16,29
46,5,matches,경기 정보를 반환,extra_full_time,경기의 연장전 시간 (분 단위; 예: 30) (연장전이 없는 경우 null),integer,,,17,29
47,5,matches,경기 정보를 반환,detail_result_home_score,홈팀의 총 득점,integer,,,18,29
48,5,matches,경기 정보를 반환,detail_result_away_score,원정팀의 총 득점,integer,,,19,29
49,5,matches,경기 정보를 반환,extra_result_home_score," 처리된 경우: 홈/원정팀의 몰수패 처리 결과 (일반적으로 승리한 팀의 3:0 승리로 처리됨)
- 승부차기, 몰수패 둘 다 아닌 경우 nul",integer,,,20,29
50,5,matches,경기 정보를 반환,extra_result_away_score," 처리된 경우: 홈/원정팀의 몰수패 처리 결과 (일반적으로 승리한 팀의 3:0 승리로 처리됨)
- 승부차기, 몰수패 둘 다 아닌 경우 nul",integer,,,21,29
51,5,matches,경기 정보를 반환,extra_result_type,연장전 타입 ,varchar(50),,,22,29
52,5,matches,경기 정보를 반환,venue_id,경기장의 고유 ID,integer,,,23,29
53,5,matches,경기 정보를 반환,venue_ground,경기장 명칭,varchar(50),,,24,29
54,5,matches,경기 정보를 반환,venue_ground_width,경기장 사이드 라인 길이 (미터 단위),integer,,,25,29
55,5,matches,경기 정보를 반환,venue_ground_height,경기장 골 라인 길이 (미터 단위),integer,,,26,29
56,5,matches,경기 정보를 반환,is_analysis_finished,"경기 분석이 끝난 경우 true. 이 필드가 false일 경우 해당 경기의 이벤트 데이터, 집계 데이터, 시퀀스 데이터 엔드포인트를 사용할 수 없음 * 예외: 경기 라이브 분석이 진행 중인 경우 분석중이어도 true를 반환",boolean,,,27,29
57,5,matches,경기 정보를 반환,live_analysing,경기 라이브 분석이 진행 중인 경우 true,boolean,,,28,29
58,5,matches,경기 정보를 반환,regdate,데이터 적재 일자,date,,,29,29
59,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,id,라인업 내 해당 선수의 고유 ID (선수 ID와 별개),integer,1,id,1,11
60,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,player_id,선수의 고유 ID,integer,,,2,11
61,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,player_name,선수의 이름 (성 제외),varchar(20),,,3,11
62,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,player_last_name,선수의 성,varchar(50),,,4,11
63,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,back_number,선수의 해당 경기에서의 등번호,varchar(5),,,5,11
64,6,matches_lineup,경기를 치른 양 팀의 라인업 정보,is_starting_lineup,선수가 선발 출전한 경우 true,boolean,,,6,11
